California,CaliforniaSanDiego,13,7,3,Santa Barbara Invitational
California,CalPolyPomona,13,7,3,Santa Barbara Invitational
California,CaliforniaSantaBarbara,13,7,3,Santa Barbara Invitational
Washington,Williams,13,10,3,Santa Barbara Invitational
Washington,CalStateLongBeach,13,5,3,Santa Barbara Invitational
Washington,CaliforniaDavis,13,8,3,Santa Barbara Invitational
Stanford,UCLA,13,7,3,Santa Barbara Invitational
Stanford,ChicoState,13,6,3,Santa Barbara Invitational
Stanford,SanDiegoState,13,4,3,Santa Barbara Invitational
CalPolySLO,SanDiegoState,13,7,3,Santa Barbara Invitational
CalPolySLO,UCLA,13,9,3,Santa Barbara Invitational
CalPolySLO,CaliforniaSantaCruz,13,5,3,Santa Barbara Invitational
CaliforniaSantaBarbara,CalPolyPomona,13,4,3,Santa Barbara Invitational
CaliforniaSantaBarbara,CaliforniaSanDiego,13,4,3,Santa Barbara Invitational
Williams,CaliforniaDavis,13,12,3,Santa Barbara Invitational
Williams,CalStateLongBeach,13,9,3,Santa Barbara Invitational
ChicoState,CaliforniaSantaCruz,14,13,3,Santa Barbara Invitational
CaliforniaSanDiego,CalPolyPomona,13,3,3,Santa Barbara Invitational
SanDiegoState,ChicoState,13,9,3,Santa Barbara Invitational
UCLA,CaliforniaSantaCruz,12,10,3,Santa Barbara Invitational
CalStateLongBeach,CaliforniaDavis,13,10,3,Santa Barbara Invitational
California,SanDiegoState,15,8,3,Santa Barbara Invitational
California,Washington,14,10,3,Santa Barbara Invitational
California,CaliforniaSantaBarbara,14,8,3,Santa Barbara Invitational
Washington,UCLA,15,9,3,Santa Barbara Invitational
Washington,CalPolySLO,15,12,3,Santa Barbara Invitational
CalPolySLO,Williams,15,12,3,Santa Barbara Invitational
CaliforniaSantaBarbara,Stanford,14,12,3,Santa Barbara Invitational
CaliforniaSantaBarbara,CalPolySLO,16,15,3,Santa Barbara Invitational
CaliforniaDavis,CaliforniaSantaCruz,15,12,3,Santa Barbara Invitational
CaliforniaDavis,CaliforniaSanDiego,14,13,3,Santa Barbara Invitational
CaliforniaDavis,ChicoState,14,13,3,Santa Barbara Invitational
Williams,Stanford,14,13,3,Santa Barbara Invitational
ChicoState,CalPolyPomona,15,8,3,Santa Barbara Invitational
ChicoState,CalStateLongBeach,13,12,3,Santa Barbara Invitational
CaliforniaSanDiego,CalPolyPomona,13,2,3,Santa Barbara Invitational
SanDiegoState,Stanford,14,11,3,Santa Barbara Invitational
UCLA,SanDiegoState,15,11,3,Santa Barbara Invitational
UCLA,Williams,14,11,3,Santa Barbara Invitational
CalStateLongBeach,CaliforniaSantaCruz,9,5,3,Santa Barbara Invitational
CaliforniaSantaCruz,CalPolyPomona,15,12,3,Santa Barbara Invitational
